CHV_FTPROD_MATRICULA;FLG_EMPREGADO;FLG_EVADIU;FLG_BOLSA_ESTUDO_NAO;FLG_BOLSA_ESTUDO_SIM;FLG_0_DISC;FLG_1_DISC;FLG_2_DISC;FLG_3_DISC;FLG_IDAP_ABAIXO;FLG_IDAP_ACIMA;PERC_FALTA_00;PERC_FALTA_10;PERC_FALTA_15;PERC_FALTA_20;PERC_FALTA_25;QTD_BOLETOS_0;QTD_BOLETOS_1;QTD_BOLETOS_2;QTD_BOLETOS_3
10869016311709CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10869016311709CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10869016311709CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1087788911822MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
108918959324MATRICULADO;1;0;1;0;1,00;0;0;0;0;1;1;0;0;0;0;0;1;0;0
1089401399298MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1089712811740CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
109041329340MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
109140719356MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
109370849364MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10938516111728MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;0;0;0;1
109414899324MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10959414011992EVADIDO;1;1;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
10959414011992EVADIDO;1;1;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
